phylo,mPC1,mPC2,mPC3,fPC1,fPC2,fPC3,nonforest,Habitat,Strata,Forest.Dependency,Migration,mAvgBrill,fAvgBrill,Iris,Bill
Amaurospiza_concolor,-1.968930127,1.02313419,0.289968898,-1.682386357,0.279633599,-0.196005311,closed,Forest ,U,Medium,Sedintary,0.086075266,0.111223053,0,0
Cardinalis_cardinalis,0.193132503,-0.747824762,-0.113726567,0.260018358,0.343036877,0.277050288,open,Semi-open ,O,Low,Sedintary,0.119409789,0.126811214,0,1
Cardinalis_phoeniceus,0.32612326,-1.308269157,-0.118382641,0.227245989,0.329794278,0.329821913,open,Scrub ,O,None,Sedintary,0.130572866,0.142805241,0,0
Cardinalis_sinuatus,-0.003066533,-0.169958387,0.166930051,-0.12596426,0.018289913,0.380364842,open,Scrub ,O,None,Sedintary,0.138285873,0.143763227,0,1
Caryothraustes_canadensis,-0.350290414,-2.210099364,0.022364237,-0.989686295,0.772544355,-0.188907009,closed,Forest ,C,High,Sedintary,0.123297188,0.111987419,0,0
Caryothraustes_poliogaster,0.073027951,-0.401716049,-0.047967696,0.987323891,0.416578628,-0.116994045,closed,Forest ,C,Medium,Sedintary,0.11376729,0.102938667,0,0
Chlorothraupis_carmioli,-0.299063871,-0.233680478,-0.576180662,0.801311069,0.063142055,-0.71800713,closed,Forest ,U,Medium,Sedintary,0.06858279,0.071815691,0,0
Chlorothraupis_olivacea,-0.320704019,-0.686560113,-0.306537221,0.605193546,-0.134685094,-0.380815452,closed,Forest ,U,Medium,Sedintary,0.081461254,0.095089902,1,0
Chlorothraupis_stolzmanni,-0.364096742,-0.581011213,-0.254406233,0.225254211,0.047060773,-0.67163003,closed,Forest ,U,Medium,Sedintary,0.081617347,0.076111806,0,0
Cyanocompsa_brissonii,-0.757103093,1.228064463,-0.29409201,-0.852608727,0.339301066,-0.750072346,closed,Semi-open ,U,Medium,Sedintary,0.070589824,0.080059594,0,0
Cyanocompsa_cyanoides,-3.407211676,0.966923654,-0.048198359,0.705085861,0.028548989,-0.964507399,closed,Forest ,U,Medium,Sedintary,0.049054427,0.062902995,0,0
Cyanocompsa_parellina,-0.185609062,1.22653277,-0.286493068,-1.573522579,0.657381243,-0.752586824,closed,Scrub ,U,Medium,Sedintary,0.079156811,0.080066469,0,0
Cyanoloxia_glaucocaerulea,-1.274625372,0.81446476,0.24925872,-1.224603935,0.321726252,-0.409135081,open,Semi-open ,O,Low,Sedintary,0.10022627,0.103066001,0,0
Granatellus_pelzelni,0.23046147,1.258377399,0.109143002,1.125315802,-0.481906313,0.355737092,closed,Forest ,C,Medium,Sedintary,0.136727054,0.159519747,0,0
Granatellus_sallaei,-0.014556125,1.39030115,0.193339041,0.104711827,-0.692718299,-0.042144661,closed,Forest ,U,Medium,Sedintary,0.131073113,0.140234373,0,0
Granatellus_venustus,-0.356302576,0.569694057,0.400323763,0.126794729,-0.410815103,0.324076331,closed,Scrub ,U,High,Sedintary,0.150923085,0.158028389,0,0
Habia_atrimaxillaris,-0.518340175,-0.581192615,-0.165677428,0.79220415,-1.337144443,-0.613868841,closed,Forest ,U,Medium,Sedintary,0.090190824,0.075139551,1,0
Habia_fuscicauda,-0.04547951,-1.034029755,-0.305506333,-1.190601932,-0.044198595,-0.478068902,closed,Scrub ,U,Medium,Sedintary,0.093630605,0.078957492,0,0
Habia_gutturalis,-0.118850131,-0.785893383,-0.343710786,0.265912396,0.144948969,-0.47025124,closed,Forest ,U,Low,Sedintary,0.088845315,0.084699295,0,0
